UserCode,YearFall,p1.1.10851,p1.1.10836,p1.2.10614,p1.2.10801,p1.2.10479,p1.2.10887,p1.2.10183,p1.2.10715,p1.2.10478,p1.3.10613,p1.3.10385,p1.3.10431,p1.3.10914,p1.4.10768,p1.4.10712,p1.5.10260,p1.5.10952,p1.6.10298,p1.6.10294,p1.6.10292,p1.6.10295,p1.6.10296,p1.7.10384,p1.7.10953,p1.7.10911,p1.7.10912,p1.7.10642,p1.8.10615,p1.8.10977,p1.8.10623,p2.1.10549,p2.1.10398,p2.1.10862,p2.1.10954,p2.1.10787,p2.1.10716,p2.1.10627,p2.1.10731,p2.1.10788,p2.1.10789,p2.2.10732,p2.2.10733,p2.2.10868,p2.2.10869,p2.2.10156,p2.3.10195,p2.3.10122,p2.3.10842,p2.3.10718,p2.3.10193,p2.4.10201,p2.4.10202,p2.4.10203,p2.4.10204,p2.4.10210,p2.4.10205,p2.5.10290,p2.5.10889,p2.6.10777,p2.5.10776,p2.5.10778,p2.6.10631,p2.6.10633,p2.6.10632,p2.7.10533,p2.5.10704,p2.7.10422,p2.7.10534,p2.7.10761,p2.7.10377,p2.7.10423,p2.7.10501,p2.7.10502,p3.1.10926,p3.1.10332,p3.1.10146,p3.1.10556,p3.1.10945,p3.2.10161,p3.2.10165,p3.2.10166,p3.2.10163,p3.2.10164,p3.3.10174,p3.3.10175,p3.3.10173,p3.3.10176,p3.3.10177,p3.3.10172,p3.4.10271,p3.4.10255,p3.4.10256,p3.4.10259,p3.5.10257,p3.5.10270,p3.5.10273,p3.6.10992,p3.6.10991,p3.6.10994,p3.6.10996,p3.6.10997,p3.6.10814,p3.7.10783,p3.7.10511,p3.7.10839,p3.7.10769,p3.7.10770,p3.7.10771,p3.8.10350,p3.8.10351,p3.8.10352,p4.1.10206,p4.1.10215,p4.1.10207,p4.1.10208,p4.1.10209,p4.1.10216,p4.1.10217,p4.1.10219,p4.2.10680,p4.2.10681,p4.2.10682,p4.2.10683,p4.2.10685,p4.2.10686,p4.3.10551,p4.3.10499,p4.3.10498,p4.3.10554,p4.3.10559,p4.3.10553,p4.4.10597,p4.4.10595,p4.5.10442,p4.5.10441,p4.6.10232,p4.6.10233,p4.7.10671,p4.7.10672,p4.7.10677,p4.7.10673,p4.8.10426,p4.8.10343,Prob_Set1,Test1,Prob_Set2,Test2,Prob_Set3,Test3,Prob_Set4,Test4,Final_E.1am
5052089521341910,2021,1,1,1,1,1.0,5,4,2,1,5,4,2,1,2,1,1,3,4.0,4.0,3.0,1.0,4.0,1,3.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,5.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,5.0,3.0,1.0,2.0,2.0,17.0,65,16.0,46.0,15.0,61.0,12.0,46.0,48.0
2267968612100420,2021,1,1,3,3,1.0,2,1,1,1,1,2,4,1,1,1,1,5,1.0,5.0,1.0,1.0,1.0,2,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,5.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,3.0,20.0,71,14.0,48.0,17.0,38.0,15.0,,48.0
2272473991421000,2021,1,1,1,3,1.0,4,2,2,1,3,2,1,2,1,1,1,1,2.0,1.0,3.0,1.0,5.0,4,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,18.0,75,15.0,78.0,16.5,73.0,18.5,62.0,85.0
1028565347733500,2021,2,1,3,2,1.0,4,4,1,3,1,1,4,1,5,1,3,4,4.0,1.0,2.0,3.0,4.0,1,2.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,5.0,1.0,4.0,2.0,5.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,2.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,4.0,2.0,2.0,16.0,20,17.0,,12.5,17.0,9.0,,
1671932658808910,2021,1,1,1,3,3.0,3,1,3,1,1,1,3,5,1,3,4,4,1.0,1.0,4.0,3.0,4.0,3,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,5.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,5.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,1.0,5.0,3.0,5.0,1.0,2.0,1.0,5.0,5.0,3.0,1.0,1.0,14.0,22,9.0,30.0,16.0,29.0,6.0,,
6262789541120230,2021,4,1,1,5,1.0,3,2,4,1,2,1,3,3,1,1,1,5,4.0,5.0,3.0,1.0,4.0,2,1.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,4.0,5.0,1.0,2.0,5.0,4.0,5.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,4.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,5.0,3.0,4.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,16.0,61,13.0,27.0,8.0,13.0,15.0,20.0,18.0
4606918366503250,2021,1,1,1,1,1.0,2,1,1,1,1,4,1,5,4,1,2,2,1.0,4.0,4.0,1.0,5.0,1,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,5.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,5.0,4.0,4.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,5.0,4.0,1.0,1.0,2.0,17.0,84,14.0,73.0,14.5,74.0,14.0,66.0,72.0
4721170522682980,2021,1,1,1,1,1.0,1,1,1,1,1,1,1,2,1,1,2,2,3.0,3.0,3.0,1.0,2.0,1,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,20.0,77,17.0,72.0,18.0,74.0,10.0,65.0,73.0
4352781257207870,2021,1,2,1,3,4.0,1,2,1,2,3,2,2,4,4,3,1,3,2.0,2.0,4.0,1.0,2.0,1,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,20.0,75,19.0,70.0,20.0,74.0,18.5,27.0,38.0
5438157523743590,2021,1,1,1,1,1.0,4,1,1,1,1,1,2,1,1,1,1,4,1.0,5.0,4.0,3.0,1.0,1,2.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,1.0,3.0,5.0,1.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,17.0,79,17.0,61.0,18.0,69.0,11.0,50.0,54.0
7286623718289470,2021,1,1,1,1,1.0,1,1,1,1,3,1,1,1,1,1,1,2,2.0,3.0,1.0,1.0,1.0,1,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,3.0,20.0,78,14.0,82.0,17.5,87.0,11.5,51.0,64.0
8071081571914980,2021,1,1,1,1,1.0,1,1,1,1,1,1,1,4,3,1,1,2,1.0,4.0,1.0,1.0,4.0,1,3.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,5.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,1.0,1.0,3.0,18.0,76,0.0,55.0,14.0,71.0,0.0,58.0,64.0
7426344077561000,2021,3,1,5,2,2.0,5,3,1,1,1,3,4,4,2,1,1,2,3.0,5.0,1.0,2.0,1.0,4,2.0,3.0,1.0,3.0,1.0,2.0,5.0,5.0,1.0,3.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,5.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,2.5,2.0,3.0,12.0,39,11.0,27.0,10.5,27.0,,,
8121058438887220,2021,1,1,1,1,1.0,2,1,1,1,2,1,1,3,1,1,1,1,3.0,1.0,2.0,1.0,5.0,1,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,18.0,95,18.0,77.0,16.5,91.0,18.5,84.0,88.0
9385025342210610,2021,1,3,1,5,1.0,4,1,1,2,5,1,2,1,1,1,1,1,4.0,3.0,5.0,2.0,5.0,5,1.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,4.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,5.0,2.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,5.0,4.0,1.0,1.0,4.0,18.0,81,17.0,69.0,19.0,69.0,18.5,53.0,63.0
8195289287131130,2021,1,1,2,2,1.0,1,1,1,1,1,1,2,5,1,1,3,1,4.0,5.0,1.0,1.0,3.0,3,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,5.0,3.0,1.0,5.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,18.0,71,15.0,61.0,16.0,67.0,9.0,45.0,63.0
1839425190472020,2021,5,1,1,1,4.0,5,3,1,2,1,1,3,5,3,5,3,1,3.0,3.0,4.0,2.0,1.0,5,4.0,3.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,5.0,1.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0,2.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,1.0,5.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,5.0,1.0,2.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,5.0,2.0,3.0,4.0,1.0,2.0,4.0,5.0,2.0,1.0,3.0,5.0,5.0,2.0,4.0,2.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,2.5,2.0,3.0,16.0,33,16.0,31.0,17.5,23.0,,,
7565404559048250,2021,2,1,1,2,1.0,1,1,2,1,2,3,4,5,4,2,1,2,1.0,2.0,4.0,1.0,4.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,18.0,84,17.0,68.0,16.5,83.0,18.0,75.0,75.0
1269011624654620,2021,1,1,3,1,1.0,1,1,2,1,3,2,1,2,1,1,2,1,2.0,2.0,4.0,1.0,3.0,1,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0,1.0,3.0,1.0,5.0,2.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,5.0,2.0,3.0,1.0,5.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,3.0,20.0,86,12.0,53.0,19.0,67.0,17.5,48.0,55.0
2512675552656270,2021,1,1,4,2,2.0,4,1,1,1,1,3,2,4,4,1,1,1,4.0,4.0,4.0,3.0,5.0,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,5.0,1.0,5.0,2.0,2.0,4.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,5.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,5.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,5.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,18.0,51,0.0,,16.5,31.0,9.5,15.0,
5732499327964070,2021,1,1,1,1,1.0,1,2,1,1,1,2,2,1,5,1,1,1,2.0,1.0,3.0,2.0,5.0,1,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,4.0,1.0,1.0,4.0,19.0,79,17.0,59.0,16.0,57.0,18.0,48.0,58.0
7736205282716440,2021,1,1,1,4,2.0,2,1,2,1,2,3,3,3,2,1,1,3,1.0,5.0,1.0,3.0,1.0,1,1.0,3.0,1.0,4.0,1.0,1.0,2.0,5.0,2.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,5.0,1.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,2.0,16.0,83,15.0,58.0,14.5,63.0,17.0,56.0,59.0
